user_info_user_id,comment_type,user_info_nickname,content,create_time,like_count,sub_comment_count,ip_location,pictures
65183c50000000002402dd6a,主评论,momo,支持举办一场Kimi PPT大赛！要是能教一些利用Kimi制作PPT方法就更好了[哭惹R]我很需要,"7/27/2026, 4:15:06 PM",208,2,湖北,
617326f1000000000201caf7,子评论,Vant Hoff,同求方法，授人以鱼不如授人以渔,"7/27/2026, 4:20:54 PM",58,0,河南,,回复 momo
5856939f82ec396dd4d6b7f3,主评论,绘空事,正考虑开会员，豆包和KIMI哪个做PPT更好？,"8/7/2026, 10:02:48 PM",1,2,四川,
6623ca5a00000000030309b7,子评论,momojlj,K记[合十R],"8/9/2026, 7:32:58 PM",3,0,上海,,回复 绘空事
69344e44000000003700ab59,主评论,多了个多多,有教程嘛,"7/27/2026, 4:20:04 PM",7,7,浙江,
657fb438000000001902dbcf,子评论,Kimi智能助手,在准备了 在准备了,"7/27/2026, 4:24:38 PM",38,0,北京,,回复 多了个多多
565837760bf90c3c9f28dde0,主评论,年少年,@点点 为什么kimi做ppt这么牛，本身不是最好的大模型，但是ppt交付最佳，分析其中的根本原因，定位决定交付质量的关键,"8/13/2026, 12:32:31 PM",0,1,广东,
68944c1e0000000028001164,子评论,点点,"Kimi在PPT交付上表现突出，根本原因在于它 没有把PPT当成一个单纯的文本生成或图片拼接任务，而是定位为一个完整的“内容+设计+交付”工作流 。它把PPT制作的痛点拆解得非常清楚，然后针对性地解决。
【定位决定交付质量】
Kimi的PPT能力，本质上是“大模型能力+Agent工作流+可编辑交付物”的组合拳。
大模型负责“想清楚”：Kimi本身在长文本和逻辑梳理上比较强，所以它生成的PPT大纲和内容结构通常很完整，适合做技术汇报、产品方案这类需要严密逻辑的场景。
Agent负责“找材料”：通过内置的WebBridge和Agent集群，Kimi能自动联网搜索资料、调用数据库（比如金融数据），甚至并发处理多个子任务。这意味着你给它一个主题，它能自己去调研、整理，而不是只靠你喂材料。
PPT引擎负责“做出来”：这是最关键的一步。Kimi的PPT引擎会把前面生成的内容，自动转换成真正可编辑的PPTX文件，而不是一张张图片。这直接决定了交付物能不能用。
【交付质量的关键点】
可编辑性是核心优势：很多AI工具生成的是图片，改一个字都要重来。Kimi生成的是原生PPTX，图表、SmartArt、文字都能单独修改，这极大降低了后期调整的成本。
智能布局代替套模板：它会根据内容量和类型，自动选择排版方式，比如数据用图表、流程用时间线。你也可以上传公司模板，让它一比一复刻风格，保证视觉统一。
批注修改降低沟通成本：你可以在生成的PPT上直接添加批注，告诉Kimi“这里改小一点”、“那里换张图”，它能精准定位并修改，比反复调整提示词更高效。
支持复杂内容和动效：从几十页的研报到带局部动画的科研图表，Kimi K3在处理复杂信息和增加演示效果上也在持续加强，这让它的适用场景更广。
简单来说，Kimi赢在它理解职场人真正需要的不是一个“看起来很美”的PPT，而是一个“逻辑清晰、能直接拿去改、改完就能用”的交付物。","8/13/2026, 12:32:42 PM",0,0,,,回复 年少年
5f6d80d9000000000100ab6f,主评论,Jerry,天呐[哇R]数学老师心动了（准备大显身手中）,"7/27/2026, 4:17:32 PM",0,3,浙江,
657fb438000000001902dbcf,子评论,Kimi智能助手,那你肯定很厉害！制作好at我hh 求欣赏～,"7/27/2026, 4:23:54 PM",1,0,北京,,回复 Jerry
68a543760000000019013161,主评论,一二三,第一第一[派对R]，网页的那个活动还在搞嘛[害羞R]最近活动好多[棒R],"7/27/2026, 4:07:08 PM",1,5,河北,
657fb438000000001902dbcf,子评论,Kimi智能助手,哪个呀 Kimik3生万物那个吗,"7/27/2026, 4:13:45 PM",0,0,北京,,回复 一二三
5a9688a74eacab1a1b1e3cca,主评论,Charlotte,根本排不上会员。。。,"8/18/2026, 5:33:09 PM",3,0,北京,
5cffbc150000000011026579,主评论,浩浩,能不能像 codex  一样 给点重置福利[哭惹R],"7/27/2026, 5:13:00 PM",12,1,湖北,
5afa42384eacab19b8339263,子评论,滇颠桃🍑,同问。。消耗太大了[哭惹R],"7/27/2026, 5:24:58 PM",0,0,云南,,回复 浩浩
55b5a28ee4b1cf19ae777d83,主评论,阿曼达,求教程,"8/26/2026, 11:31:01 AM",0,0,北京,
5483c8ae2e1d93358f1d4c9f,主评论,🔒,生成的是html还是ppt,"7/27/2026, 5:32:22 PM",2,1,上海,
657fb438000000001902dbcf,子评论,Kimi智能助手,这是ppt，动画分成两部分：一部分是局部gif（也是kimi根据prompt自己做的）、另一部分是ppt的整体演示动画,"7/27/2026, 6:26:23 PM",3,0,北京,,回复 🔒
565855cfe4251d5498218b63,主评论,momo,这个ppt是可编辑的office ppt还是网页版的ppt？,"7/27/2026, 5:55:29 PM",1,1,浙江,
636389b4000000001f01be87,子评论,binaryify,可编辑的,"7/27/2026, 6:37:04 PM",0,0,广东,,回复 momo
602e9bbe0000000001006305,主评论,你身上有我的香水味,先把算力整够吧，根本生成不出来呀[失望R],"7/28/2026, 12:28:15 AM",5,0,广东,
6484968c000000002a0361a9,主评论,没办法是这样的,能不能针对泛体制内 ppt 做个 skill 呢？泛体制内一般需要你利用模板，或者要复用大量的照片，截图，校徽等等内容。如果是随便搞个美感，人家可能一眼就看出来是 ai 做的,"7/28/2026, 7:48:50 PM",1,0,湖北,
5b1396d7f7e8b9526e804129,主评论,hamomo,kimi是我目前唯一充值的API，能不能给个教程看看你有多强大啊，自己摸索仿佛海底探洞,"7/28/2026, 2:28:06 PM",1,0,北京,
5f91b3340000000001001d52,主评论,易玄,我现在已经用html做演示，很久没做PPT了,"7/28/2026, 12:16:18 AM",1,0,河南,
5483bb7f2e1d93358d1d28d9,主评论,banks626,应该出教程，或者培训班,"7/27/2026, 9:44:28 PM",1,0,湖南,
600d23410000000001008083,主评论,福酱,这是html[笑哭R],"7/27/2026, 4:46:44 PM",0,1,上海,
657fb438000000001902dbcf,子评论,Kimi智能助手,这是pptx[笑哭R],"7/27/2026, 6:26:40 PM",5,0,北京,,回复 福酱
67c97bc6000000000e010ac5,主评论,某孤独的看客,使用kimi制作ppt的最优方式是使用kimi work吗？,"7/27/2026, 5:51:12 PM",0,1,,
657fb438000000001902dbcf,子评论,Kimi智能助手,如果在这份ppt中需要kimi使用实时信源、数据库，需要在登录才能够访问的网站上收集资料、需要使用大量本地文件，建议kimi work。,"7/27/2026, 6:25:26 PM",5,0,北京,,回复 某孤独的看客
5bf7e75751783a02c59fe67a,主评论,柯白梦,昨晚刚开了会员，但是感觉模板有点少，布局花式还不够丰富,"8/17/2026, 10:15:43 PM",0,0,上海,
6697b8eb000000000f03691c,主评论,沙南街的叮当猫,老大看看我主页第一条，带了kimik3但是没带生万物[石化R],"8/3/2026, 5:40:27 PM",0,0,北京,
641f9833000000001102202e,主评论,KKK,即便是allegro会员额度也不够啊，[笑哭R]。,"7/27/2026, 5:13:55 PM",1,0,广东,
6a5db8b9000000000f039400,主评论,Flashdeck速写-AIPPT,加了动效后PPT看起来确实生动很多，不过有时候加载会慢一些,"7/31/2026, 5:51:28 PM",0,0,广东,
55d1546b67bc6540ad979a55,主评论,momo(王者版),教程有吗楼主宝宝[害羞R],"7/31/2026, 3:18:54 PM",0,0,上海,
6164430c00000000020276dc,主评论,Violaaaaaa,K3上线后额度真的太不经用了。。单位产出的价格算下来比国外模型都贵多了,"7/28/2026, 6:38:37 PM",0,0,陕西,
64e8d1960000000001005f93,主评论,cafe,什么时候开放啊[哭惹R],"8/5/2026, 2:41:49 PM",0,0,陕西,
5c335d51000000000602ca3d,主评论,🌈东东读博日记,对不起 能问下怎么用吗[汗颜R]是直接说生成ppt吗,"7/27/2026, 7:51:38 PM",0,1,江苏,
5e197b860000000001000d29,子评论,🇭 🇦 🇳,也可以，新建对话后，对话框下面有个 ppt 按钮,"7/27/2026, 8:31:39 PM",0,0,上海,,回复 🌈东东读博日记
5bfe34b2ad9bf1000170cb12,主评论,Zaza cheng,[害羞R]要是能便宜些就好了,"7/29/2026, 12:55:51 PM",0,0,安徽,
620e6f630000000021020e51,主评论,侵权责任,你这个扩容要扩到什么时候?就让大家排队排着吗?,"8/1/2026, 12:56:51 AM",0,0,北京,
5b0d32654eacab463d6f66f8,主评论,Sion,kimi ppt 需要哪种订阅？,"7/28/2026, 10:25:13 PM",0,0,上海,
6a5db8b9000000000f039400,主评论,Flashdeck速写-AIPPT,加了动效后PPT看起来生动多了，不过导出时文件会不会变大很多？,"7/30/2026, 5:28:25 PM",0,0,广东,
54f43f042e1d9318c8011d0c,主评论,momo,先把会员订阅窗口打开吧,"7/27/2026, 9:00:45 PM",1,0,北京,
5bab9feaaa7cbb00010aa917,主评论,王噗噗,收费吗,"7/28/2026, 12:31:44 PM",0,0,北京,
5d270b96000000001203942f,主评论,雪豹叼尾巴,迫切希望单位智能体合作里把kimi拉进来，ppt no.1[完啦R][完啦R][完啦R],"7/28/2026, 10:56:01 AM",1,0,浙江,
68e27a20000000003201b6a3,主评论,骂爽了,每次用都说人数太多,"7/28/2026, 10:56:40 AM",1,0,广东,
6420cf460000000011022469,主评论,我不是心童,但是用kimi生成出来的很丑啊 所以指令是什么,"7/28/2026, 6:39:41 PM",0,0,广东,
5d14c90a000000001201dc07,主评论,88.,收费吗,"7/28/2026, 6:33:58 PM",0,0,吉林,
5f26be2a0000000001009daa,主评论,睿泼,Kimi 制作PPT水平是很厉害，但是为啥我无法导出为PPT格式呢？,"8/9/2026, 12:54:37 AM",0,0,江苏,
